Active,Name,Amount,Logo,Website,Type
yes,Northside Co.,5000,northside-co.png,https://example.com,Silent Auction
yes,Dad & Dave's Brewing,4200,dad-and-daves.png,https://www.dadndavesbrewing.com/,Raffle
yes,Glacier Dental,3500,,https://example.com,Supporter
yes,Northern Beaches Banners,2500,,http://www.northernbeachesbanners.com.au/,Auction & Raffle
yes,Alpine Motors,2000,,https://example.com,Supporter
yes,The Snug Bookshop,1500,,https://example.com,Raffle
yes,Blizzard Plumbing,1200,,https://example.com,Supporter
yes,Iceberg Eyewear,800,,https://example.com,Silent Auction
yes,Tundra Tyres,600,,https://example.com,Auction & Raffle
yes,Snowdrop Florist,500,,https://example.com,Raffle
no,Summit Signs (awaiting logo),3000,,https://example.com,Supporter
